episode,reward
1,-21.0
2,-21.0
3,-21.0
4,-21.0
5,-21.0
6,-21.0
7,-21.0
8,-21.0
9,-21.0
10,-21.0
11,-21.0
12,-21.0
13,-21.0
14,-21.0
15,-21.0
16,-21.0
17,-21.0
18,-21.0
19,-21.0
20,-21.0
21,-21.0
22,-21.0
23,-20.99
24,-20.990099999999998
25,-20.990199
26,-20.990297010000003
27,-20.990394039900004
28,-20.990490099501002
29,-20.990585198505993
30,-20.980679346520933
31,-20.980872553055725
32,-20.98106382752517
33,-20.971253189249918
34,-20.97154065735742
35,-20.961825250783843
36,-20.952206998276004
37,-20.932684928293245
38,-20.923358079010313
39,-20.924124498220213
40,-20.92488325323801
41,-20.92563442070563
42,-20.926378076498576
43,-20.927114295733592
44,-20.927843152776255
45,-20.92856472124849
46,-20.919279074036005
47,-20.920086283295646
48,-20.92088542046269
49,-20.911676566258063
50,-20.91255980059548
51,-20.913434202589528
52,-20.914299860563634
53,-20.885156861958
54,-20.88630529333842
55,-20.887442240405036
56,-20.888567818000986
57,-20.879682139820975
58,-20.880885318422767
59,-20.87207646523854
60,-20.86335570058615
61,-20.84472214358029
62,-20.846274922144488
63,-20.847812172923042
64,-20.849334051193814
65,-20.840840710681874
66,-20.822432303575056
67,-20.814207980539305
68,-20.77606590073391
69,-20.768305241726573
70,-20.760622189309306
71,-20.743015967416213
72,-20.745585807742053
73,-20.748129949664634
74,-20.740648650167987
75,-20.713242163666308
76,-20.716109742029644
77,-20.71894864460935
78,-20.711759158163254
79,-20.714641566581623
80,-20.687495150915804
81,-20.69062019940665
82,-20.693713997412583
83,-20.696776857438458
84,-20.689809088864074
85,-20.682910997975434
86,-20.68608188799568
87,-20.679221069115723
88,-20.682428858424565
89,-20.68560456984032
90,-20.668748524141918
91,-20.672061038900498
92,-20.675340428511493
93,-20.668587024226376
94,-20.66190115398411
95,-20.66528214244427
96,-20.658629321019827
97,-20.66204302780963
98,-20.655422597531533
99,-20.658868371556217
100,-20.662279687840655
101,-20.66565689096225
102,-20.64900032205263
103,-20.652510318832103
104,-20.64598521564378
105,-20.63952536348734
106,-20.633130109852466
107,-20.62679880875394
108,-20.6305308206664
109,-20.624225512459734
110,-20.62798325733514
111,-20.63170342476179
112,-20.63538639051417
113,-20.63903252660903
114,-20.642642201342937
115,-20.64621577932951
116,-20.649753621536213
117,-20.64325608532085
118,-20.63682352446764
119,-20.640455289222963
120,-20.63405073633073
121,-20.637710228967425
122,-20.64133312667775
123,-20.634919795410973
124,-20.638570597456862
125,-20.642184891482295
126,-20.645763042567474
127,-20.6493054121418
128,-20.652812358020384
129,-20.64628423444018
130,-20.64982139209578
131,-20.653323178174823
132,-20.646789946393074
133,-20.640322046929143
134,-20.643918826459853
135,-20.637479638195252
136,-20.6411048418133
137,-20.644693793395167
138,-20.638246855461215
139,-20.631864386906603
140,-20.635545743037536
141,-20.62919028560716
142,-20.632898382751087
143,-20.626569398923575
144,-20.63030370493434
145,-20.634000667884997
146,-20.637660661206148
147,-20.631284054594087
148,-20.634971214048146
149,-20.638621501907664
150,-20.64223528688859
151,-20.645812934019702
152,-20.649354804679504
153,-20.65286125663271
154,-20.646332644066383
155,-20.63986931762572
156,-20.643470624449463
157,-20.64703591820497
158,-20.650565559022922
159,-20.654059903432692
160,-20.647519304398365
161,-20.65104411135438
162,-20.654533670240838
163,-20.65798833353843
164,-20.651408450203046
165,-20.654894365701015
166,-20.658345422044004
167,-20.661761967823566
168,-20.66514434814533
169,-20.668492904663875
170,-20.671807975617238
171,-20.675089895861067
172,-20.678338996902458
173,-20.681555606933433
174,-20.6847400508641
175,-20.687892650355458
176,-20.691013723851903
177,-20.694103586613384
178,-20.69716255074725
179,-20.70019092523978
180,-20.703189015987384
181,-20.70615712582751
182,-20.709095554569235
183,-20.712004599023544
184,-20.714884553033308
185,-20.717735707502975
186,-20.720558350427947
187,-20.723352766923668
188,-20.72611923925443
189,-20.728858046861887
190,-20.73156946639327
191,-20.73425377172934
192,-20.736911234012045
193,-20.739542121671924
194,-20.742146700455205
195,-20.744725233450655
196,-20.737277981116147
197,-20.739905201304985
198,-20.742506149291938
199,-20.74508108779902
200,-20.74763027692103
201,-20.750153974151818
202,-20.7526524344103
203,-20.755125910066198
204,-20.757574650965537
205,-20.759998904455884
206,-20.752398915411323
207,-20.75487492625721
208,-20.75732617699464
209,-20.75975291522469
210,-20.762155386072447
211,-20.764533832211722
212,-20.766888493889606
213,-20.76921960895071
214,-20.771527412861204
