episode,reward
1,-21
2,-21
3,-21
4,-20.97
5,-20.9703
6,-20.950597
7,-20.93109103
8,-20.92178012
9,-20.92256232
10,-20.9233367
11,-20.91410333
12,-20.9149623
13,-20.88581267
14,-20.88695455
15,-20.888085
16,-20.87920415
17,-20.88041211
18,-20.86160799
19,-20.85299191
20,-20.85446199
21,-20.85591737
22,-20.85735819
23,-20.85878461
24,-20.84019677
25,-20.8417948
26,-20.84337685
27,-20.83494308
28,-20.83659365
29,-20.82822772
30,-20.79994544
31,-20.80194598
32,-20.80392652
33,-20.80588726
34,-20.79782839
35,-20.7898501
36,-20.7919516
37,-20.75403209
38,-20.74649176
39,-20.74902685
40,-20.75153658
41,-20.75402121
42,-20.736481
43,-20.73911619
44,-20.70172503
45,-20.68470778
46,-20.6778607
47,-20.68108209
48,-20.67427127
49,-20.66752856
50,-20.65085327
51,-20.63434474
52,-20.62800129
53,-20.63172128
54,-20.62540407
55,-20.61915003
56,-20.61295853
57,-20.61682894
58,-20.60066065
59,-20.60465405
60,-20.60860751
61,-20.61252143
62,-20.60639622
63,-20.61033225
64,-20.61422893
65,-20.61808664
66,-20.62190578
67,-20.61568672
68,-20.60952985
69,-20.61343455
70,-20.61730021
71,-20.6211272
72,-20.62491593
73,-20.62866677
74,-20.62238011
75,-20.6261563
76,-20.61989474
77,-20.60369579
78,-20.59765884
79,-20.60168225
80,-20.60566543
81,-20.60960877
82,-20.60351268
83,-20.59747756
84,-20.58150278
85,-20.58568775
86,-20.58983088
87,-20.59393257
88,-20.59799324
89,-20.60201331
90,-20.59599318
91,-20.59003324
92,-20.59413291
93,-20.58819158
94,-20.57230967
95,-20.57658657
96,-20.5808207
97,-20.5850125
98,-20.54916237
99,-20.54367075
100,-20.54823404
101,-20.5527517
102,-20.55722418
103,-20.56165194
104,-20.56603542
105,-20.56037507
106,-20.56477132
107,-20.5691236
108,-20.56343237
109,-20.52779804
110,-20.52252006
111,-20.52729486
112,-20.52202191
113,-20.5168017
114,-20.52163368
115,-20.51641734
116,-20.52125317
117,-20.51604064
118,-20.52088023
119,-20.52567143
120,-20.53041471
121,-20.52511057
122,-20.50985946
123,-20.50476087
124,-20.50971326
125,-20.51461613
126,-20.51946996
127,-20.52427526
128,-20.52903251
129,-20.53374219
130,-20.52840476
131,-20.52312072
132,-20.52788951
133,-20.53261061
134,-20.52728451
135,-20.53201166
136,-20.53669155
137,-20.54132463
138,-20.53591139
139,-20.53055227
140,-20.52524675
141,-20.52999428
142,-20.53469434
143,-20.53934739
144,-20.54395392
145,-20.54851438
146,-20.53302924
147,-20.53769895
148,-20.53232196
149,-20.52699874
150,-20.51172875
151,-20.50661146
152,-20.49154535
153,-20.49662989
154,-20.48166359
155,-20.48684696
156,-20.49197849
157,-20.4870587
158,-20.49218812
159,-20.49726624
160,-20.49229357
161,-20.49737064
162,-20.50239693
163,-20.48737296
164,-20.49249923
165,-20.48757424
166,-20.4926985
167,-20.48777151
168,-20.4928938
169,-20.49796486
170,-20.50298521
171,-20.50795536
172,-20.51287581
173,-20.51774705
174,-20.52256958
175,-20.51734388
176,-20.52217044
177,-20.51694874
178,-20.51177925
179,-20.50666146
180,-20.51159484
181,-20.4964789
182,-20.49151411
183,-20.49659896
184,-20.49163298
185,-20.48671665
186,-20.48184948
187,-20.48703098
188,-20.49216067
189,-20.49723907
190,-20.49226668
191,-20.49734401
192,-20.49237057
193,-20.49744686
194,-20.5024724
195,-20.48744767
196,-20.4925732
197,-20.47764746
198,-20.48287099
199,-20.46804228
200,-20.47336186
201,-20.45862824
202,-20.46404195
203,-20.46940154
204,-20.47470752
205,-20.47996044
206,-20.48516084
207,-20.46030923
208,-20.45570614
209,-20.46114908
210,-20.46653759
211,-20.46187221
212,-20.46725349
213,-20.47258095
214,-20.46785515
215,-20.46317659
216,-20.46854483
217,-20.47385938
218,-20.47912079
219,-20.46432958
220,-20.46968628
221,-20.46498942
222,-20.47033952
223,-20.45563613
224,-20.44107977
225,-20.44666897
226,-20.45220228
227,-20.45768026
228,-20.45310346
229,-20.45857242
230,-20.4639867
231,-20.46934683
232,-20.47465336
233,-20.47990683
234,-20.45510776
235,-20.46055668
236,-20.45595112
237,-20.4513916
238,-20.45687769
239,-20.46230891
240,-20.44768582
241,-20.45320896
242,-20.45867687
243,-20.46409011
244,-20.4494492
245,-20.45495471
246,-20.45040517
247,-20.43590111
248,-20.4415421
249,-20.42712668
250,-20.41285541
251,-20.41872686
252,-20.42453959
253,-20.4102942
254,-20.41619125
255,-20.42202934
256,-20.42780905
257,-20.43353096
258,-20.43919565
259,-20.43480369
260,-20.42045565
261,-20.4262511
262,-20.43198859
263,-20.4376687
264,-20.44329201
265,-20.44885909
266,-20.4543705
267,-20.4598268
268,-20.46522853
269,-20.47057624
270,-20.46587048
271,-20.46121178
272,-20.45659966
273,-20.46203366
274,-20.46741333
275,-20.47273919
276,-20.4780118
277,-20.48323168
278,-20.46839937
279,-20.46371537
280,-20.46907822
281,-20.45438744
282,-20.43984356
283,-20.44544513
284,-20.44099068
285,-20.44658077
286,-20.45211496
287,-20.45759381
288,-20.44301787
289,-20.43858769
290,-20.44420182
291,-20.4497598
292,-20.4552622
293,-20.46070958
294,-20.43610248
295,-20.43174146
296,-20.42742404
297,-20.4131498
298,-20.40901831
299,-20.40492812
300,-20.40087884
301,-20.38687005
302,-20.39300135
303,-20.39907134
304,-20.39508063
305,-20.40112982
306,-20.40711852
307,-20.39304734
308,-20.39911686
309,-20.40512569
310,-20.41107444
311,-20.39696369
312,-20.40299406
313,-20.40896412
314,-20.41487447
315,-20.41072573
316,-20.41661847
317,-20.42245229
318,-20.42822776
319,-20.42394549
320,-20.42970603
321,-20.42540897
322,-20.43115488
323,-20.43684333
324,-20.4424749
325,-20.44805015
326,-20.45356965
327,-20.45903395
328,-20.45444361
329,-20.45989918
330,-20.44530019
331,-20.45084718
332,-20.44633871
333,-20.44187532
334,-20.43745657
335,-20.43308201
336,-20.42875119
337,-20.42446367
338,-20.43021904
339,-20.43591685
340,-20.43155768
341,-20.4372421
342,-20.44286968
343,-20.43844098
344,-20.44405657
345,-20.40961601
346,-20.40551985
347,-20.40146465
348,-20.40745
349,-20.4033755
350,-20.40934175
351,-20.41524833
352,-20.42109585
353,-20.40688489
354,-20.40281604
355,-20.40878788
356,-20.4147
357,-20.420553
358,-20.42634747
359,-20.432084
360,-20.43776316
361,-20.43338552
362,-20.43905167
363,-20.44466115
364,-20.45021454
365,-20.4557124
366,-20.45115527
367,-20.43664372
368,-20.42227728
369,-20.41805451
370,-20.42387396
371,-20.42963522
372,-20.43533887
373,-20.44098548
374,-20.44657563
375,-20.43210987
376,-20.43778877
377,-20.44341089
378,-20.43897678
