episode,reward
1,-20.0
2,-20.0
3,-20.01
4,-19.979900000000004
5,-19.990101000000006
6,-20.000199990000006
7,-20.000197990100006
8,-20.010196010199007
9,-20.02009405009702
10,-20.019893109596048
11,-20.019694178500085
12,-20.029497236715084
13,-20.009202264347934
14,-20.009110241704455
15,-20.019019139287412
16,-20.018828947894537
17,-20.028640658415593
18,-20.028354251831438
19,-20.038070709313125
20,-20.047690002219994
21,-20.057213102197796
22,-20.056640971175817
23,-20.04607456146406
24,-20.05561381584942
25,-20.065057677690927
26,-20.064407100914018
27,-20.073763029904878
28,-20.07302539960583
29,-20.08229514560977
30,-20.081472194153672
31,-20.090657472212136
32,-20.099750897490015
33,-20.108753388515115
34,-20.117665854629966
35,-20.126489196083668
36,-20.10522430412283
37,-20.104172061081602
38,-20.113130340470786
39,-20.10199903706608
40,-20.11097904669542
41,-20.109869256228464
42,-20.11877056366618
43,-20.117582858029518
44,-20.126407029449222
45,-20.13514295915473
46,-20.123791529563185
47,-20.132553614267554
48,-20.131228078124877
49,-20.129915797343628
50,-20.13861663937019
51,-20.137230472976487
52,-20.145858168246722
53,-20.154399586564256
54,-20.152855590698614
55,-20.151327034791628
56,-20.15981376444371
57,-20.148215626799274
58,-20.156733470531282
59,-20.16516613582597
60,-20.16351447446771
61,-20.161879329723032
62,-20.1702605364258
63,-20.168557931061542
64,-20.166872351750925
65,-20.175203628233415
66,-20.183451591951084
67,-20.191617076031573
68,-20.189700905271255
69,-20.187803896218544
70,-20.165925857256358
71,-20.164266598683792
72,-20.172623932696954
73,-20.150897693369984
74,-20.129388716436285
75,-20.13809482927192
76,-20.146713880979203
77,-20.15524674216941
78,-20.163694274747716
79,-20.17205733200024
80,-20.180336758680237
81,-20.188533391093436
82,-20.176648057182504
83,-20.184881576610678
84,-20.183032760844572
85,-20.19120243323613
86,-20.189290408903766
87,-20.177397504814728
88,-20.18562352976658
89,-20.193767294468916
90,-20.201829621524226
91,-20.209811325308983
92,-20.187713212055893
93,-20.185836079935335
94,-20.193977719135983
95,-20.202037941944624
96,-20.210017562525177
97,-20.217917386899927
98,-20.22573821303093
99,-20.22348083090062
100,-20.22124602259161
101,-20.229033562365696
102,-20.23674322674204
103,-20.24437579447462
104,-20.251932036529876
105,-20.249412716164578
106,-20.24691858900293
107,-20.2544494031129
108,-20.24190490908177
109,-20.249485859990955
110,-20.256991001391047
111,-20.264421091377137
112,-20.271776880463367
113,-20.279059111658736
114,-20.286268520542148
115,-20.293405835336728
116,-20.30047177698336
117,-20.30746705921353
118,-20.314392388621396
119,-20.321248464735184
120,-20.308035980087833
121,-20.314955620286955
122,-20.301806064084087
123,-20.308788003443247
124,-20.315700123408817
125,-20.32254312217473
126,-20.319317690952982
127,-20.31612451404345
128,-20.322963268903017
129,-20.329733636213987
130,-20.336436299851847
131,-20.33307193685333
132,-20.329741217484795
133,-20.316443805309948
134,-20.32327936725685
135,-20.31004657358428
136,-20.306946107848436
137,-20.313876646769952
138,-20.320737880302254
139,-20.327530501499233
140,-20.33425519648424
141,-20.330912644519398
142,-20.337603518074204
143,-20.344227482893462
144,-20.340785208064528
145,-20.317377355983883
146,-20.324203582424044
147,-20.330961546599806
148,-20.307651931133808
149,-20.30457541182247
150,-20.311529657704245
151,-20.318414361127203
152,-20.325230217515934
153,-20.331977915340776
154,-20.328658136187368
155,-20.335371554825496
156,-20.332017839277242
157,-20.33869766088447
158,-20.335310684275626
159,-20.341957577432872
160,-20.348538001658543
161,-20.35505262164196
162,-20.351502095425538
163,-20.357987074471282
164,-20.36440720372657
165,-20.360763131689303
166,-20.35715550037241
167,-20.353583945368687
168,-20.360048105915002
169,-20.36644762485585
170,-20.31278314860729
171,-20.31965531712122
172,-20.30645876395001
173,-20.31339417631051
174,-20.320260234547405
175,-20.32705763220193
176,-20.333787055879913
177,-20.330449185321115
178,-20.327144693467904
179,-20.333873246533226
180,-20.340534514067894
181,-20.347129168927214
182,-20.353657877237943
183,-20.360121298465565
184,-20.34652008548091
185,-20.333054884626105
186,-20.329724335779844
187,-20.336427092422046
188,-20.343062821497824
189,-20.349632193282847
190,-20.35613587135002
191,-20.35257451263652
192,-20.359048767510153
193,-20.365458279835053
194,-20.371803697036704
195,-20.378085660066336
196,-20.384304803465675
197,-20.380461755431018
198,-20.376657137876705
199,-20.382890566497938
200,-20.389061660832958
201,-20.39517104422463
202,-20.401219333782382
203,-20.40720714044456
204,-20.413135069040113
205,-20.419003718349714
206,-20.404813681166218
207,-20.410765544354557
208,-20.40665788891101
209,-20.3925913100219
210,-20.398665396921682
211,-20.404678742952466
212,-20.40063195552294
213,-20.39662563596771
214,-20.39265937960803
215,-20.39873278581195
216,-20.39474545795383
217,-20.370798003374293
218,-20.36709002334055
219,-20.373419123107144
220,-20.379684931876074
221,-20.375888082557314
222,-20.372129201731738
223,-20.378407909714422
224,-20.374623830617278
225,-20.370877592311103
226,-20.36716881638799
227,-20.373497128224113
228,-20.379762156941872
229,-20.385964535372455
